"id","parent_id:id","code","name","tax_classification_id:id"
product_category_AE,,AE,泵,
product_category_AN,,AN,工控,
product_category_BJ,,BJ,液压,
product_category_BA,,BA,磨具,
product_category_BD,,BD,气动,
product_category_AC,,AC,办公,
product_category_BG,,BG,实验室产品,
product_category_AW,,AW,紧固,
product_category_AL,,AL,工具,
product_category_AJ,,AJ,低压,
product_category_AX,,AX,劳保,
product_category_AB,,AB,搬运,
product_category_AY,,AY,量具,
product_category_AQ,,AQ,工业检测,
product_category_BM,,BM,轴承,
product_category_AS,,AS,焊接,
product_category_AT,,AT,机床,
product_category_BB,,BB,暖通,
product_category_BF,,BF,润滑,
product_category_AM,,AM,工具耗材,
product_category_BC,,BC,皮带,
product_category_AU,,AU,机械,
product_category_BE,,BE,清洁,
product_category_BK,,BK,照明,
product_category_AZ,,AZ,密封,
product_category_AK,,AK,电工,
product_category_AA,,AA,安全,
product_category_BH,,BH,消防,
product_category_AG,,AG,存储,
product_category_AD,,AD,包材,
product_category_AH,,AH,刀具,
product_category_AR,,AR,管阀,
product_category_BL,,BL,制冷,
product_category_AV,,AV,胶粘,
product_category_AF,,AF,车间化学品,
product_category_AP,,AP,工位,
product_category_AE42,product_category_AE,42,离心泵,
product_category_ANAD,product_category_AN,AD,工业交换机,
product_category_BJHR,product_category_BJ,HR,液压缸,
product_category_BJHM,product_category_BJ,HM,液压泵,
product_category_BAFE,product_category_BA,FE,砂轮,
product_category_BDFW,product_category_BD,FW,气阀类,
product_category_BDFU,product_category_BD,FU,空压机/后处理,
product_category_BDFY,product_category_BD,FY,真空元件,
product_category_BDFX,product_category_BD,FX,气缸类,
product_category_BDFT,product_category_BD,FT,空气处理件,
product_category_BDFV,product_category_BD,FV,气动辅助件,
product_category_AC25,product_category_AC,25,办公用品,
product_category_AC24,product_category_AC,24,办公设备,
product_category_AC22,product_category_AC,22,办公家具,
product_category_AC27,product_category_AC,27,电脑外设/数码产品,
product_category_AC28,product_category_AC,28,通讯设备,
product_category_AC23,product_category_AC,23,办公日用,
product_category_AC26,product_category_AC,26,电脑及配件,
product_category_BGHA,product_category_BG,HA,实验室通用耗材,
product_category_BGGW,product_category_BG,GW,生命科学仪器设备,
product_category_BGHD,product_category_BG,HD,水质及电化学分析仪器,
product_category_BGGR,product_category_BG,GR,低温存储产品,
product_category_BGHF,product_category_BG,HF,温控设备,
product_category_BGGX,product_category_BG,GX,生物耗材,
product_category_BGGY,product_category_BG,GY,实验室防护、清洁耗材,
product_category_BGGV,product_category_BG,GV,色谱仪器,
product_category_AWDB,product_category_AW,DB,垫圈/挡圈/平键/销,
